features_kept,cv,cluster_performances,mean_centroid_distance
54,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",28.74668010753454
55,0.16406720150677526,"[0.7692307692307693, 0.5818181818181818, 0.8333333333333334, 0.5769230769230769]",28.836150569044523
56,0.16952750006759082,"[0.5555555555555556, 0.8333333333333334, 0.7692307692307693, 0.5925925925925926]",28.915788117223297
57,0.16406720150677526,"[0.7692307692307693, 0.5818181818181818, 0.8333333333333334, 0.5769230769230769]",29.002727959542376
58,0.16406720150677526,"[0.7692307692307693, 0.5818181818181818, 0.8333333333333334, 0.5769230769230769]",29.083185378104705
59,0.16406720150677528,"[0.8333333333333334, 0.5818181818181818, 0.5769230769230769, 0.7692307692307693]",29.163124348497057
60,0.16406720150677528,"[0.5769230769230769, 0.7692307692307693, 0.5818181818181818, 0.8333333333333334]",29.24093760660568
61,0.16406720150677528,"[0.8333333333333334, 0.5818181818181818, 0.5769230769230769, 0.7692307692307693]",29.31669993223416
62,0.16406720150677528,"[0.5769230769230769, 0.7692307692307693, 0.5818181818181818, 0.8333333333333334]",29.389570955028343
63,0.16406720150677528,"[0.8333333333333334, 0.5818181818181818, 0.5769230769230769, 0.7692307692307693]",29.45923506463467
64,0.16952750006759082,"[0.5555555555555556, 0.5925925925925926, 0.8333333333333334, 0.7692307692307693]",29.527116088906848
65,0.16952750006759082,"[0.5555555555555556, 0.5925925925925926, 0.8333333333333334, 0.7692307692307693]",29.595032487552963
66,0.1695275000675908,"[0.5555555555555556, 0.7692307692307693, 0.8333333333333334, 0.5925925925925926]",29.664401655754865
67,0.16406720150677528,"[0.8333333333333334, 0.5818181818181818, 0.5769230769230769, 0.7692307692307693]",29.7323860872785
68,0.16952750006759082,"[0.5555555555555556, 0.5925925925925926, 0.8333333333333334, 0.7692307692307693]",29.791763795426334
69,0.16952750006759082,"[0.5555555555555556, 0.5925925925925926, 0.8333333333333334, 0.7692307692307693]",29.855254862792073
70,0.14783442110961575,"[0.8333333333333334, 0.5818181818181818, 0.6, 0.7142857142857143]",29.92302638975695
